FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,2011 Cost Per Meal,2011 Weighted Annual Food Budget Shortfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,AL,19.5%,936410,130.0%,SNAP,185.0%,Other Nutrition Program,51.2%,20.5%,28.3%,26.3%,292740,75%,25%,$2.64,"$403,023,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alaska,AK,14.7%,106200,130.0%,SNAP,185.0%,Other Nutrition Program,41.6%,22.7%,35.7%,20.3%,37640,65%,35%,$2.90,"$50,209,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,AZ,19.1%,1237540,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",68.5%,0.0%,31.5%,29.9%,478420,72%,28%,$2.49,"$502,364,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Arkansas,AR,19.7%,579200,130.0%,SNAP,185.0%,Other Nutrition Program,52.3%,20.1%,27.7%,28.4%,198750,73%,27%,$2.51,"$237,008,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,California,CA,17.4%,6568450,130.0%,SNAP,185.0%,Other Nutrition Program,54.0%,18.7%,27.3%,27.3%,2487750,71%,29%,$2.73,"$2,923,387,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Colorado,CO,15.5%,795300,130.0%,SNAP,185.0%,Other Nutrition Program,46.0%,18.4%,35.6%,21.9%,266090,64%,36%,$2.72,"$352,663,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Connecticut,CT,14.5%,520350,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",54.0%,0.0%,46.0%,19.8%,157550,58%,42%,$2.82,"$239,224,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Delaware,DE,13.2%,120020,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",59.1%,0.0%,40.9%,18.3%,36860,71%,29%,$2.75,"$53,808,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,District of Columbia,DC,15.7%,97120,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.1%,0.0%,38.9%,30.0%,31460,63%,37%,$3.57,"$56,524,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Florida,FL,18.7%,3558910,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",67.6%,0.0%,32.4%,28.4%,1118050,69%,31%,$2.76,"$1,601,352,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,GA,20.0%,1965340,130.0%,SNAP,185.0%,Other Nutrition Program,52.7%,18.9%,28.4%,28.8%,707390,70%,30%,$2.59,"$829,847,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
