FIPS,State Name,State,2019 Food Insecurity Rate,# of Food Insecure Persons in 2019,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2019 Child Food Insecurity Rate,# of Food Insecure Children in 2019,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2019,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2019,2019 Cost Per Meal,2019 Weighted Annual Food Budget Shortfall
1,Alabama,AL,16.1%,"788,250",130%,SNAP,185%,Other Nutrition Program,50.3%,15.3%,34.4%,21.2%,"229,880",76%,24%,$3.01,"$405,611,000"
2,Alaska,AK,11.9%,"86,970",130%,SNAP,185%,Other Nutrition Program,48.7%,15.2%,36.1%,16.1%,"28,850",72%,28%,$3.63,"$53,905,000"
4,Arizona,AZ,12.6%,"918,940",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.1%,,36.9%,17.9%,"293,570",68%,32%,$3.03,"$475,515,000"
5,Arkansas,AR,16.6%,"499,950",130%,SNAP,185%,Other Nutrition Program,51.4%,15.6%,33.0%,21.6%,"150,910",73%,27%,$2.73,"$233,680,000"
6,California,CA,10.2%,"4,011,960",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.7%,,28.3%,13.7%,"1,221,560",70%,30%,$3.26,"$2,233,636,000"
8,Colorado,CO,9.8%,"566,440",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.5%,,39.5%,12.1%,"151,810",71%,29%,$3.35,"$324,827,000"
9,Connecticut,CT,12.0%,"428,800",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",55.4%,,44.6%,15.1%,"110,020",65%,35%,$3.39,"$248,587,000"
10,Delaware,DE,11.7%,"114,190",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.8%,,43.2%,16.6%,"33,790",65%,35%,$3.18,"$62,002,000"
11,District of Columbia,DC,10.0%,"70,480",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.7%,,30.3%,15.3%,"19,630",62%,38%,$4.09,"$49,250,000"
12,Florida,FL,12.0%,"2,567,300",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.9%,,32.1%,16.8%,"709,810",67%,33%,$3.28,"$1,440,472,000"
